Compound,Workflow,,,,,,,,,,,,,,,,,,,Retention Time,,,PTC Confirmed RT,SMILES
Etoposide,TargetPeak,,,,,,,,,,,,,,,,,,,5.53,,,,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
Etoposide,Fragment,,,,,,,,,,,,,,,,,,,5.53,,,,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
Etoposide,Fragment,,,,,,,,,,,,,,,,,,,5.53,,,,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
Etoposide,Fragment,,,,,,,,,,,,,,,,,,,5.53,,,,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
Etoposide,Fragment,,,,,,,,,,,,,,,,,,,5.53,,,,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
Etoposide,Fragment,,,,,,,,,,,,,,,,,,,5.53,,,,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O
Etoricoxib,TargetPeak,,,,,,,,,,,,,,,,,,,5.2,,,,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C
Etoricoxib,Fragment,,,,,,,,,,,,,,,,,,,5.2,,,,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C
Etoricoxib,Fragment,,,,,,,,,,,,,,,,,,,5.2,,,,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C
Etoricoxib,Fragment,,,,,,,,,,,,,,,,,,,5.2,,,,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C
Eugenol,TargetPeak,,,,,,,,,,,,,,,,,,,5.99,,,,COC1=C(C=CC(=C1)CC=C)O
Eugenol,Fragment,,,,,,,,,,,,,,,,,,,5.99,,,,COC1=C(C=CC(=C1)CC=C)O
Eugenol,Fragment,,,,,,,,,,,,,,,,,,,5.99,,,,COC1=C(C=CC(=C1)CC=C)O
Eugenol,Fragment,,,,,,,,,,,,,,,,,,,5.99,,,,COC1=C(C=CC(=C1)CC=C)O
Eugenol,Fragment,,,,,,,,,,,,,,,,,,,5.99,,,,COC1=C(C=CC(=C1)CC=C)O
Eugenol,Fragment,,,,,,,,,,,,,,,,,,,5.99,,,,COC1=C(C=CC(=C1)CC=C)O
Everolimus,TargetPeak,,,,,,,,,,,,,,,,,,,8.89,,,,
Everolimus,Fragment,,,,,,,,,,,,,,,,,,,8.89,,,,
Everolimus,Fragment,,,,,,,,,,,,,,,,,,,8.89,,,,
Everolimus,Fragment,,,,,,,,,,,,,,,,,,,8.89,,,,
Everolimus,Fragment,,,,,,,,,,,,,,,,,,,8.89,,,,
Everolimus,Fragment,,,,,,,,,,,,,,,,,,,8.89,,,,
FFluranylfentanyl,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
Famotidine,TargetPeak,,,,,,,,,,,,,,,,,,,2.43,,,,
Famotidine,Fragment,,,,,,,,,,,,,,,,,,,2.43,,,,
Famotidine,Fragment,,,,,,,,,,,,,,,,,,,2.43,,,,
Famotidine,Fragment,,,,,,,,,,,,,,,,,,,2.43,,,,
Famotidine,Fragment,,,,,,,,,,,,,,,,,,,2.43,,,,
Famotidine,Fragment,,,,,,,,,,,,,,,,,,,2.43,,,,
Famphur,TargetPeak,,,,,,,,,,,,,,,,,,,6.74,,,,
Famphur,Fragment,,,,,,,,,,,,,,,,,,,6.74,,,,
Famphur,Fragment,,,,,,,,,,,,,,,,,,,6.74,,,,
Famphur,Fragment,,,,,,,,,,,,,,,,,,,6.74,,,,
Famphur,Fragment,,,,,,,,,,,,,,,,,,,6.74,,,,
Famphur,Fragment,,,,,,,,,,,,,,,,,,,6.74,,,,
Famprofazone,TargetPeak,,,,,,,,,,,,,,,,,,,6,,,,
Famprofazone,Fragment,,,,,,,,,,,,,,,,,,,6,,,,
Famprofazone,Fragment,,,,,,,,,,,,,,,,,,,6,,,,
Famprofazone,Fragment,,,,,,,,,,,,,,,,,,,6,,,,
Famprofazone,Fragment,,,,,,,,,,,,,,,,,,,6,,,,
Famprofazone,Fragment,,,,,,,,,,,,,,,,,,,6,,,,
Felbamate,TargetPeak,,,,,,,,,,,,,,,,,,,4.25,,,,
Felbamate,Fragment,,,,,,,,,,,,,,,,,,,4.25,,,,
Felbamate,Fragment,,,,,,,,,,,,,,,,,,,4.25,,,,
Felbinac 4biphenylacetic acid,TargetPeak,,,,,,,,,,,,,,,,,,,3.77,,,,
Felbinac 4biphenylacetic acid,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,,
Felbinac 4biphenylacetic acid,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,,
Felbinac 4biphenylacetic acid,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,,
Felbinac 4biphenylacetic acid,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,,
Felbinac 4biphenylacetic acid,Fragment,,,,,,,,,,,,,,,,,,,3.77,,,,
Felodipine,TargetPeak,,,,,,,,,,,,,,,,,,,7.67,,,,
Felodipine,Fragment,,,,,,,,,,,,,,,,,,,7.67,,,,
Felodipine,Fragment,,,,,,,,,,,,,,,,,,,7.67,,,,
Felodipine,Fragment,,,,,,,,,,,,,,,,,,,7.67,,,,
Felodipine,Fragment,,,,,,,,,,,,,,,,,,,7.67,,,,
Felodipine,Fragment,,,,,,,,,,,,,,,,,,,7.67,,,,
Fenaminosulf,TargetPeak,,,,,,,,,,,,,,,,,,,3.41,,,,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+]
Fenaminosulf,Fragment,,,,,,,,,,,,,,,,,,,3.41,,,,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+]
Fenbufen,TargetPeak,,,,,,,,,,,,,,,,,,,6.56,,,,
Fenbufen,Fragment,,,,,,,,,,,,,,,,,,,6.56,,,,
Fenbufen,Fragment,,,,,,,,,,,,,,,,,,,6.56,,,,
Fenbufen,Fragment,,,,,,,,,,,,,,,,,,,6.56,,,,
Fenbufen,Fragment,,,,,,,,,,,,,,,,,,,6.56,,,,
Fenbufen,Fragment,,,,,,,,,,,,,,,,,,,6.56,,,,
Fenchlorazolethyl,TargetPeak,,,,,,,,,,,,,,,,,,,8.04,,,,
Fenchlorazolethyl,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
Fenchlorazolethyl,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
Fenchlorazolethyl,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
Fenchlorazolethyl,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
Fenchlorazolethyl,Fragment,,,,,,,,,,,,,,,,,,,8.04,,,,
Fenfluramine,TargetPeak,,,,,,,,,,,,,,,,,,,4.72,,,,
Fenfluramine,Fragment,,,,,,,,,,,,,,,,,,,4.72,,,,
Fenfluramine,Fragment,,,,,,,,,,,,,,,,,,,4.72,,,,
Fenfuram,TargetPeak,,,,,,,,,,,,,,,,,,,5.83,,,,
Fenfuram,Fragment,,,,,,,,,,,,,,,,,,,5.83,,,,
Fenfuram,Fragment,,,,,,,,,,,,,,,,,,,5.83,,,,
Fenfuram,Fragment,,,,,,,,,,,,,,,,,,,5.83,,,,
Fenobucarb,TargetPeak,,,,,,,,,,,,,,,,,,,6.66,,,,
Fenobucarb,Fragment,,,,,,,,,,,,,,,,,,,6.66,,,,
Fenobucarb,Fragment,,,,,,,,,,,,,,,,,,,6.66,,,,
Fenobucarb,Fragment,,,,,,,,,,,,,,,,,,,6.66,,,,
Fenofibrate,TargetPeak,,,,,,,,,,,,,,,,,,,8.49,,,,
Fenofibrate,Fragment,,,,,,,,,,,,,,,,,,,8.49,,,,
Fenofibrate,Fragment,,,,,,,,,,,,,,,,,,,8.49,,,,
Fenofibrate,Fragment,,,,,,,,,,,,,,,,,,,8.49,,,,
Fenoprofen calcium,TargetPeak,,,,,,,,,,,,,,,,,,,7.05,,,,
Fenoprofen calcium,Fragment,,,,,,,,,,,,,,,,,,,7.05,,,,
Fenoprofen calcium,Fragment,,,,,,,,,,,,,,,,,,,7.05,,,,
Fenoprofen calcium,Fragment,,,,,,,,,,,,,,,,,,,7.05,,,,
Fenoprofen calcium,Fragment,,,,,,,,,,,,,,,,,,,7.05,,,,
Fenoprop,TargetPeak,,,,,,,,,,,,,,,,,,,6.92,,,,
Fenoprop,Fragment,,,,,,,,,,,,,,,,,,,6.92,,,,
Fenoprop,Fragment,,,,,,,,,,,,,,,,,,,6.92,,,,
Fenoterol,TargetPeak,,,,,,,,,,,,,,,,,,,2.96,,,,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
Fenoterol,Fragment,,,,,,,,,,,,,,,,,,,2.96,,,,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
Fenoterol,Fragment,,,,,,,,,,,,,,,,,,,2.96,,,,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
Fenoterol,Fragment,,,,,,,,,,,,,,,,,,,2.96,,,,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
Fenoterol,Fragment,,,,,,,,,,,,,,,,,,,2.96,,,,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O
Fenoxanil,TargetPeak,,,,,,,,,,,,,,,,,,,7.64,,,,
Fenoxanil,Fragment,,,,,,,,,,,,,,,,,,,7.64,,,,
Fenoxanil,Fragment,,,,,,,,,,,,,,,,,,,7.64,,,,
Fenoxanil,Fragment,,,,,,,,,,,,,,,,,,,7.64,,,,
Fenoxanil,Fragment,,,,,,,,,,,,,,,,,,,7.64,,,,
Fenoxanil,Fragment,,,,,,,,,,,,,,,,,,,7.64,,,,
Fenson,TargetPeak,,,,,,,,,,,,,,,,,,,0.68,,,,
Fenson,Fragment,,,,,,,,,,,,,,,,,,,0.68,,,,
Fenson,Fragment,,,,,,,,,,,,,,,,,,,0.68,,,,
Fenson,Fragment,,,,,,,,,,,,,,,,,,,0.68,,,,
Fenson,Fragment,,,,,,,,,,,,,,,,,,,0.68,,,,
Fenson,Fragment,,,,,,,,,,,,,,,,,,,0.68,,,,
Fenspiride,TargetPeak,,,,,,,,,,,,,,,,,,,2.97,,,,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3
Fenspiride,Fragment,,,,,,,,,,,,,,,,,,,2.97,,,,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3
Fenspiride,Fragment,,,,,,,,,,,,,,,,,,,2.97,,,,C1CN(CCC12CNC(=O)O2)CCC3=CC=CC=C3
Fentanyl,TargetPeak,,,,,,,,,,,,,,,,,,,5.27,,,5.27,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
Fentanyl,Fragment,,,,,,,,,,,,,,,,,,,5.27,,,5.27,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
Fentanyl,Fragment,,,,,,,,,,,,,,,,,,,5.27,,,5.27,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
Fentanyl,Fragment,,,,,,,,,,,,,,,,,,,5.27,,,5.27,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
Fentanyl,Fragment,,,,,,,,,,,,,,,,,,,5.27,,,5.27,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
Fentanyl,Fragment,,,,,,,,,,,,,,,,,,,5.27,,,5.27,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
Fentanyld5,TargetPeak,,,,,,,,,,,,,,,,,,,,,,,
Fentrazamide,TargetPeak,,,,,,,,,,,,,,,,,,,7.93,,,,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl
Fentrazamide,Fragment,,,,,,,,,,,,,,,,,,,7.93,,,,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl
Fentrazamide,Fragment,,,,,,,,,,,,,,,,,,,7.93,,,,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl
Fentrazamide,Fragment,,,,,,,,,,,,,,,,,,,7.93,,,,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl
Fentrazamide,Fragment,,,,,,,,,,,,,,,,,,,7.93,,,,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl
Fentrazamide,Fragment,,,,,,,,,,,,,,,,,,,7.93,,,,CCN(C1CCCCC1)C(=O)N2C(=O)N(N=N2)C3=CC=CC=C3Cl
Ferimzone,TargetPeak,,,,,,,,,,,,,,,,,,,5.24,,,,CC1=CC=CC=C1C(=NNC2=NC(=CC(=N2)C)C)C
Ferimzone,Fragment,,,,,,,,,,,,,,,,,,,5.24,,,,CC1=CC=CC=C1C(=NNC2=NC(=CC(=N2)C)C)C
Ferimzone,Fragment,,,,,,,,,,,,,,,,,,,5.24,,,,CC1=CC=CC=C1C(=NNC2=NC(=CC(=N2)C)C)C
Ferimzone,Fragment,,,,,,,,,,,,,,,,,,,5.24,,,,CC1=CC=CC=C1C(=NNC2=NC(=CC(=N2)C)C)C
Ferimzone,Fragment,,,,,,,,,,,,,,,,,,,5.24,,,,CC1=CC=CC=C1C(=NNC2=NC(=CC(=N2)C)C)C
Ferimzone,Fragment,,,,,,,,,,,,,,,,,,,5.24,,,,CC1=CC=CC=C1C(=NNC2=NC(=CC(=N2)C)C)C
Fexofenadine,TargetPeak,,,,,,,,,,,,,,,,,,,6.15,,,,
Fexofenadine,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
Fexofenadine,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
Fexofenadine,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
Fexofenadine,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
Fexofenadine,Fragment,,,,,,,,,,,,,,,,,,,6.15,,,,
Finasteride,TargetPeak,,,,,,,,,,,,,,,,,,,6.89,,,,
Finasteride,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Finasteride,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Finasteride,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Finasteride,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Finasteride,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Firocoxib,TargetPeak,,,,,,,,,,,,,,,,,,,6.5,,,,CC1(C(=C(C(=O)O1)OCC2CC2)C3=CC=C(C=C3)S(=O)(=O)C)C
Firocoxib,Fragment,,,,,,,,,,,,,,,,,,,6.5,,,,CC1(C(=C(C(=O)O1)OCC2CC2)C3=CC=C(C=C3)S(=O)(=O)C)C
Firocoxib,Fragment,,,,,,,,,,,,,,,,,,,6.5,,,,CC1(C(=C(C(=O)O1)OCC2CC2)C3=CC=C(C=C3)S(=O)(=O)C)C
Firocoxib,Fragment,,,,,,,,,,,,,,,,,,,6.5,,,,CC1(C(=C(C(=O)O1)OCC2CC2)C3=CC=C(C=C3)S(=O)(=O)C)C
Firocoxib,Fragment,,,,,,,,,,,,,,,,,,,6.5,,,,CC1(C(=C(C(=O)O1)OCC2CC2)C3=CC=C(C=C3)S(=O)(=O)C)C
Firocoxib,Fragment,,,,,,,,,,,,,,,,,,,6.5,,,,CC1(C(=C(C(=O)O1)OCC2CC2)C3=CC=C(C=C3)S(=O)(=O)C)C
Flampropmethyl,TargetPeak,,,,,,,,,,,,,,,,,,,7.33,,,,
Flampropmethyl,Fragment,,,,,,,,,,,,,,,,,,,7.33,,,,
Flampropmethyl,Fragment,,,,,,,,,,,,,,,,,,,7.33,,,,
Flecainide,TargetPeak,,,,,,,,,,,,,,,,,,,5.37,,,5.36,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
Flecainide,Fragment,,,,,,,,,,,,,,,,,,,5.37,,,5.36,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
Flecainide,Fragment,,,,,,,,,,,,,,,,,,,5.37,,,5.36,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
Flecainide,Fragment,,,,,,,,,,,,,,,,,,,5.37,,,5.36,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
Flecainide,Fragment,,,,,,,,,,,,,,,,,,,5.37,,,5.36,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
Flecainide,Fragment,,,,,,,,,,,,,,,,,,,5.37,,,5.36,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
Flephedrone,TargetPeak,,,,,,,,,,,,,,,,,,,2.63,,,,CC(C(=O)C1=CC=C(C=C1)F)NC
Flephedrone,Fragment,,,,,,,,,,,,,,,,,,,2.63,,,,CC(C(=O)C1=CC=C(C=C1)F)NC
Flephedrone,Fragment,,,,,,,,,,,,,,,,,,,2.63,,,,CC(C(=O)C1=CC=C(C=C1)F)NC
Flephedrone,Fragment,,,,,,,,,,,,,,,,,,,2.63,,,,CC(C(=O)C1=CC=C(C=C1)F)NC
Fleroxacin,TargetPeak,,,,,,,,,,,,,,,,,,,3.47,,,,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
Fleroxacin,Fragment,,,,,,,,,,,,,,,,,,,3.47,,,,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
Fleroxacin,Fragment,,,,,,,,,,,,,,,,,,,3.47,,,,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
Fleroxacin,Fragment,,,,,,,,,,,,,,,,,,,3.47,,,,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
Fleroxacin,Fragment,,,,,,,,,,,,,,,,,,,3.47,,,,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
Fleroxacin,Fragment,,,,,,,,,,,,,,,,,,,3.47,,,,CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F
Flonicamid,TargetPeak,,,,,,,,,,,,,,,,,,,3.51,,,,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
Flonicamid,Fragment,,,,,,,,,,,,,,,,,,,3.51,,,,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
Flonicamid,Fragment,,,,,,,,,,,,,,,,,,,3.51,,,,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
Flonicamid,Fragment,,,,,,,,,,,,,,,,,,,3.51,,,,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
Flonicamid,Fragment,,,,,,,,,,,,,,,,,,,3.51,,,,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
Flonicamid,Fragment,,,,,,,,,,,,,,,,,,,3.51,,,,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N
Florfenicolneg,TargetPeak,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolneg,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolneg,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolneg,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolneg,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolneg,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolpos,TargetPeak,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolpos,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolpos,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolpos,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolpos,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Florfenicolpos,Fragment,,,,,,,,,,,,,,,,,,,4.56,,,,
Fluacrypyrim,TargetPeak,,,,,,,,,,,,,,,,,,,8.31,,,,
Fluacrypyrim,Fragment,,,,,,,,,,,,,,,,,,,8.31,,,,
Fluacrypyrim,Fragment,,,,,,,,,,,,,,,,,,,8.31,,,,
Fluacrypyrim,Fragment,,,,,,,,,,,,,,,,,,,8.31,,,,
Fluacrypyrim,Fragment,,,,,,,,,,,,,,,,,,,8.31,,,,
Flualprazolam,TargetPeak,,,,,,,,,,,,,,,,,,,,,,6.1,
Flualprazolam,Fragment,,,,,,,,,,,,,,,,,,,,,,6.1,
Flualprazolam,Fragment,,,,,,,,,,,,,,,,,,,,,,6.1,
Fluazifop,TargetPeak,,,,,,,,,,,,,,,,,,,6.84,,,,CC(C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
Fluazifop,Fragment,,,,,,,,,,,,,,,,,,,6.84,,,,CC(C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
Fluazifop,Fragment,,,,,,,,,,,,,,,,,,,6.84,,,,CC(C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
Fluazifop,Fragment,,,,,,,,,,,,,,,,,,,6.84,,,,CC(C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
Fluazifop,Fragment,,,,,,,,,,,,,,,,,,,6.84,,,,CC(C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
Fluazifop,Fragment,,,,,,,,,,,,,,,,,,,6.84,,,,CC(C(=O)O)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F
Fluazinam,TargetPeak,,,,,,,,,,,,,,,,,,,8.52,,,,
Fluazinam,Fragment,,,,,,,,,,,,,,,,,,,8.52,,,,
Fluazinam,Fragment,,,,,,,,,,,,,,,,,,,8.52,,,,
Fluazinam,Fragment,,,,,,,,,,,,,,,,,,,8.52,,,,
Fluazinam,Fragment,,,,,,,,,,,,,,,,,,,8.52,,,,
Fluazinam,Fragment,,,,,,,,,,,,,,,,,,,8.52,,,,
Fluazuron,TargetPeak,,,,,,,,,,,,,,,,,,,8.55,,,,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F
Fluazuron,Fragment,,,,,,,,,,,,,,,,,,,8.55,,,,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F
Fluazuron,Fragment,,,,,,,,,,,,,,,,,,,8.55,,,,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F
Fluazuron,Fragment,,,,,,,,,,,,,,,,,,,8.55,,,,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)F
Flubendazole,TargetPeak,,,,,,,,,,,,,,,,,,,5.76,,,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F
Flubendazole,Fragment,,,,,,,,,,,,,,,,,,,5.76,,,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F
Flubendazole,Fragment,,,,,,,,,,,,,,,,,,,5.76,,,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=C(C=C3)F
Flubromazolam,TargetPeak,,,,,,,,,,,,,,,,,,,,,,6.13,CC1=NN=C2N1C3=C(C=C(C=C3)Br)C(=NC2)C4=CC=CC=C4F
Flubromazolam,Fragment,,,,,,,,,,,,,,,,,,,,,,6.13,CC1=NN=C2N1C3=C(C=C(C=C3)Br)C(=NC2)C4=CC=CC=C4F
Flubromazolam,Fragment,,,,,,,,,,,,,,,,,,,,,,6.13,CC1=NN=C2N1C3=C(C=C(C=C3)Br)C(=NC2)C4=CC=CC=C4F
Flubromazolam,Fragment,,,,,,,,,,,,,,,,,,,,,,6.13,CC1=NN=C2N1C3=C(C=C(C=C3)Br)C(=NC2)C4=CC=CC=C4F
Flucarbazone,TargetPeak,,,,,,,,,,,,,,,,,,,5.35,,,,
Flucarbazone,Fragment,,,,,,,,,,,,,,,,,,,5.35,,,,
Flucarbazone,Fragment,,,,,,,,,,,,,,,,,,,5.35,,,,
Flucofuronneg,TargetPeak,,,,,,,,,,,,,,,,,,,8.5,,,,
Flucofuronneg,Fragment,,,,,,,,,,,,,,,,,,,8.5,,,,
Flucofuronpos,TargetPeak,,,,,,,,,,,,,,,,,,,8.5,,,,
Flucofuronpos,Fragment,,,,,,,,,,,,,,,,,,,8.5,,,,
Flucofuronpos,Fragment,,,,,,,,,,,,,,,,,,,8.5,,,,
Flucofuronpos,Fragment,,,,,,,,,,,,,,,,,,,8.5,,,,
Flucofuronpos,Fragment,,,,,,,,,,,,,,,,,,,8.5,,,,
Flucofuronpos,Fragment,,,,,,,,,,,,,,,,,,,8.5,,,,
Fluconazole,TargetPeak,,,,,,,,,,,,,,,,,,,4.21,,,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
Fluconazole,Fragment,,,,,,,,,,,,,,,,,,,4.21,,,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
Fluconazole,Fragment,,,,,,,,,,,,,,,,,,,4.21,,,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
Fluconazole,Fragment,,,,,,,,,,,,,,,,,,,4.21,,,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
Fluconazole,Fragment,,,,,,,,,,,,,,,,,,,4.21,,,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
Fluconazole,Fragment,,,,,,,,,,,,,,,,,,,4.21,,,,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
Fludioxonil,TargetPeak,,,,,,,,,,,,,,,,,,,6.89,,,,
Fludioxonil,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Fludioxonil,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Fludioxonil,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Fludioxonil,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Fludioxonil,Fragment,,,,,,,,,,,,,,,,,,,6.89,,,,
Fludrocortisone,TargetPeak,,,,,,,,,,,,,,,,,,,5.57,,,,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F
